,Season,Date,Home_Team_ID,Away_Team_ID,Home_Goals,Away_Goals,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,HomeTeamRating,AwayTeamRating,HomeShortPass,AwayShortPass,HomeLongPass,AwayLongPass,HomeFreeKickAccuracy,AwayFreeKickAccuracy,HomeBallControl,AwayBallControl,HomeSprintSpeed,AwaySprintSpeed,HomeShotPower,AwayShotPower,HomeInterception,AwayInterception,HomePenalties,AwayPenalties,HomeStandingTackle,AwayStandingTackle,HomeSlindingTackle,AwaySlindingTackle,Away Support,HomeTeamWins_Home,HomeTeamWins_Away,AwayTeamWins_Home,AwayTeamWins_Away,HomeVsAway_Home,HomeVsAway_Away,,Outcome
13,2008/2009,29-10-2008 00:00,8559,8668,0,1,23932,26454,23783,24336,23785,37996,23933,35532,24372,23934,34261,31465,30371,24004,23268,33086,24011,39618,24006,36012,24160,30735,75,79.18181818,65.90909091,68.72727273,59.90909091,65.54545455,46.45454545,49.81818182,66.09090909,70,72.36363636,76.09090909,62.36363636,70.36363636,74.09090909,70.27272727,68.63636364,71.81818182,60.18181818,59.36363636,58.27272727,56.72727273,2248.6,0.4,0.5,0.5,0.4,0,0,,Lose
14,2008/2009,29-10-2008 00:00,8667,8455,0,3,23021,40132,26066,34275,23022,34437,23023,30595,39073,23352,26143,30859,25925,30911,30627,38834,32345,30631,30686,30630,30679,37804,70.81818182,84.36363636,58.27272727,75.36363636,54.54545455,72.63636364,46.36363636,54.90909091,62,76.09090909,67.36363636,75.90909091,59.72727273,68.54545455,64.81818182,81,60,76.09090909,60.18181818,62.90909091,0,59,2481.6,0.4,0.5,0.5,0.4,0,0,,Lose
15,2008/2009,29-10-2008 00:00,10194,8472,1,0,23794,40574,40005,40695,35467,22994,23333,24133,25668,23314,38755,24527,36786,24740,24408,43259,38802,24411,0,30352,23927,33418,69.72727273,66.81818182,59.90909091,54.36363636,54.36363636,52.90909091,45,46.09090909,59.18181818,58.81818182,69.81818182,67.09090909,56.72727273,59,66.72727273,60.45454545,63.54545455,57.81818182,60.36363636,48.54545455,57.81818182,48.90909091,2699.4,0.4,0.5,0.5,0.4,0,0,,Win
16,2008/2009,29-10-2008 00:00,8650,8462,1,0,30660,37442,24134,30617,34222,34601,30889,95327,30915,30618,37139,36286,24630,26108,24216,40987,25543,24653,25517,23988,63520,30830,80.18181818,75.63636364,69.18181818,65.18181818,71.45454545,63.09090909,54.45454545,43,71.81818182,68.63636364,74.81818182,73,67.90909091,64.09090909,76.63636364,69.45454545,77.36363636,71.63636364,61.27272727,64.81818182,58.09090909,0,4361.1,0.4,0.5,0.5,0.4,0,0,,Win
17,2008/2009,29-10-2008 00:00,10252,8655,3,2,30380,30357,43280,33863,23282,38807,38609,23782,24780,23354,23264,30622,49571,19020,23921,37764,30842,38711,24136,23916,0,34947,79.18181818,68.45454545,69.63636364,55,70.54545455,58.90909091,54.27272727,39.63636364,69.72727273,58.27272727,76.63636364,63.63636364,62.90909091,52.54545455,73,62.81818182,73.45454545,63.36363636,63.54545455,56.09090909,0,54.63636364,3981.2,0.4,0.5,0.5,0.4,0,0,,Win
18,2008/2009,28-10-2008 00:00,10261,8659,2,1,24224,25518,24228,30929,37475,33852,40565,24205,34574,37799,24225,36373,31731,42594,26527,24728,40055,24664,38433,24171,23257,32570,76.54545455,70.72727273,66,64.27272727,65.45454545,60,50.09090909,53.18181818,70.18181818,64.09090909,75.72727273,68.18181818,62.81818182,61.63636364,68.90909091,64,69.54545455,68.54545455,60,55.90909091,54.45454545,53.81818182,4875,0.4,0.5,0.5,0.4,0,0,,Win
19,2008/2009,29-10-2008 00:00,9879,8528,2,0,30633,37266,23780,26777,24781,24020,24843,30338,24737,31907,24741,34421,35472,25005,111865,97988,25150,38816,34987,35327,34466,127857,74.54545455,73.09090909,67.72727273,62.54545455,64.81818182,55.72727273,58.63636364,52.63636364,69.36363636,66.72727273,74.72727273,72.45454545,67.45454545,66.72727273,72.36363636,67.90909091,73.18181818,65.72727273,57.09090909,58.90909091,52.90909091,0,2434.4,0.4,0.4,0.5,0.4,0,0,,Win
20,2008/2009,01-11-2008 00:00,10260,8667,4,3,30726,30615,30620,30865,32569,30893,34944,40961,40945,27430,30829,23021,40132,26066,34275,23022,34437,23946,30595,39073,23352,26143,84.63636364,71.09090909,75.81818182,59.36363636,73.81818182,55.72727273,59.09090909,47,77.90909091,63.81818182,78.09090909,68.45454545,71.27272727,60.72727273,76.81818182,64.27272727,78.63636364,61.27272727,59.81818182,58.90909091,56.09090909,0,7530.4,0.4,0.5,0.5,0.5,0,0,,Win
21,2008/2009,01-11-2008 00:00,8586,8650,2,1,30455,46403,30354,38697,40006,23760,34182,24656,25421,31097,23949,30660,37442,30617,25984,414792,37139,30618,38818,30889,37920,24635,78.45454545,82.09090909,67.81818182,73.63636364,67.45454545,73.81818182,54.63636364,55.27272727,70.63636364,74.09090909,76.63636364,75.90909091,66.63636364,69.63636364,71.18181818,80.45454545,74,79.18181818,64.72727273,64.09090909,57.63636364,60.27272727,3592.9,0.5,0.5,0.5,0.5,0,0,,Win
22,2008/2009,01-11-2008 00:00,8668,9879,1,0,31465,30371,24004,23268,33086,36012,24006,39618,24011,30876,24160,30633,37266,23780,26777,24781,24020,24843,30338,24737,24741,31907,79.18181818,74.54545455,70,67.72727273,67.81818182,64.81818182,50.63636364,58.63636364,69.63636364,69.36363636,75.27272727,74.72727273,70.90909091,67.45454545,71.72727273,72.36363636,70.72727273,73.18181818,61.54545455,57.09090909,59.54545455,52.90909091,3566.7,0.5,0.5,0.5,0.4,0,0,,Win
